day_of_week,complaint_description,total_requests
3,Sign - Street Name,892
3,Tree Issue ROW/Maintenance (PW),886
3,ARR Street Sweeping,883
3,Road Markings/Striping - Maintenance,880
3,Traffic Engineering - General,865
3,ARR - General,836
3,View Obstruction at Intersection,834
3,Creek & Pond Vegetation Control,824
3,Dangerous/Vicious Dog Investigation,819
3,Dockless Mobility,818
3,Animal Protection - Injured/Sick Animal,801
3,School Zone Flasher - Timing/Maintenance,789
3,AW - Water Waste Report,774
3,Austin Code - Coronavirus,767
3,Aquatics Hotline Inquiry,766
3,Loose Animal Not Dog,765
3,APH - Graffiti Abatement - Public Property,750
3,Community Connections - Coronavirus,739
3,ATD - Parking Sign Maintenance,726
3,Alley & Unpaved Street Maintenance,704
3,DSD - Request Code Officer,703
3,WPD - Channels/Creek/Drainage Issues,698
3,Bicycle Issues,670
3,Coyote Complaints,663
3,Sign - Parking Sign Maintenance,654
3,Tree Issue ROW/Emergency (PW),647
3,DSD - Environmental Complaint,631
3,Construction Items in ROW,613
3,Park Maintenance - Grounds Plumbing Issues,606
3,ZZ AFD - Fireworks Complaint,592
3,Loud Music,584
3,Mowing Medians,581
3,ATD - Construction Items in Right of Way,536
3,ARR - Bulk,530
3,Animal Protection - Found Animal Assistance,528
3,Traffic Calming,526
3,Park Maintenance - Grounds Electrical Issues,516
3,Road Markings/Striping - New,498
3,Animal Protection - Assistance Request,492
3,Sidewalk/Curb Ramp/Route - NEW,445
3,Street Lights New,442
3,Animal In Vehicle,436
3,Park Maintenance - Pool Issues,432
3,Street Light Issue- Multiple poles/multiple streets,431
3,SBO - Pothole Repair,409
3,Construction items in ROW,408
3,Flooding  Current (Non-Emergency),402
3,PWD - Tree Issue Right of Way,399
3,Lost Item in Storm Drainage System,387
3,Tree Issue ROW/Maintenance (PARD),382
3,ARR - On Call Bulk,363
3,ATD - Speed Management,360
3,Mowing City Parks,358
3,Flooding - Past,352
3,ATD - Dig Tess Request,350
3,ARR - Brush,343
3,ATD - Traffic Sign New,331
3,ARR - Street Sweeping,326
3,ATD - Traffic Signal - Maintenance,318
3,Standing Water,312
3,Curb/Gutter Repair,312
3,Street Resurfacing,289
3,Animal Protection - Animal Proper Care,285
3,SBO - Debris in Street,264
3,ATD - Street Name Sign Maintenance,263
3,Pet Resource Center - Found Pet Report,259
3,APH - Environmental Health Services - City,258
3,APD - Vehicle Abatement Callback Request,255
3,ATD - Road Markings/Striping - Maintenance,254
3,Tree Issue ROW/Emergency (PARD),252
3,Park Maintenance - Building Plumbing Issues,240
3,ATD - Traffic Signal Maintenance,239
3,SBO - Obstruction in Right of Way,235
3,Speed Management,228
3,Animal Protection - Animal Bite,227
3,ARR - Spillage Trash/Fluids,213
3,DSD - Outdoor Commercial Venue Music Complaint,206
3,Bat Complaint,190
3,Construction Items- ROW,187
3,Austin Code - Short Term Rental (STR) Appointment,176
3,Animal Trapped in Storm Drain,173
3,ACD - Short Term Rental Complaint,173
3,SBO - Sidewalk Repair,173
3,TARA - Telecommunication Complaint,173
3,ATD - Parking Machine Issue,168
3,ARR - Special Services,163
3,Animal Protection - Wildlife Exposure,159
3,School Zone - New/Review/Changes,152
3,ATD - Traffic Sign Emergency,145
3,ATD - Road Markings/Striping - New,142
3,Code Compliance - Signs/Billboards,141
3,Speed Limit - Changes/Signs,137
3,Street Resurfacing Inquiry,133
3,ARR - Property Damage Report,132
3,Sign - School Zone Sign Maintenance,129
3,Ditch/Driveway Pipe Services,124
3,Park Maintenance - Building Issues,124
3,ATD - Traffic Signal - New/Modification,123
