month,complaint_description,total_requests
2,Austin Code - Coronavirus,247
2,ARR - Bulk,246
2,Sign - Parking Sign Maintenance,242
2,ATD - Lane/Road Closure Notification,238
2,ARR - Special Services,227
2,Traffic Calming,222
2,DSD - Outdoor Commercial Venue Music Complaint,206
2,Park Maintenance - Grounds Electrical Issues,206
2,Animal In Vehicle,205
2,Road Markings/Striping - New,200
2,School Zone Flasher - Timing/Maintenance,199
2,Street Lights New,196
2,Sidewalk/Curb Ramp/Route - NEW,195
2,Lost Item in Storm Drainage System,194
2,Tree Issue ROW/Maintenance (PW),194
2,AW - Water Conservation Violation,181
2,Park Maintenance - Building Plumbing Issues,174
2,ATD - Speed Management,173
2,SBO - Pothole Repair,171
2,Street Light Issue- Multiple poles/multiple streets,167
2,ATD - Construction Items in Right of Way,160
2,Animal Protection - Injured/Sick Animal,158
2,ATD - Traffic Sign New,157
2,Animal Protection - Animal Bite,144
2,Curb/Gutter Repair,142
2,ARR - Street Sweeping,130
2,ATD - Dig Tess Request,130
2,Construction items in ROW,120
2,Austin Code - Short Term Rental (STR) Appointment,116
2,ATD - Road Markings/Striping - Maintenance,114
2,View Obstruction at Intersection,114
2,ATD - Street Name Sign Maintenance,112
2,Standing Water,108
2,ACD - Short Term Rental Complaint,104
2,Tree Issue ROW/Emergency (PW),103
2,Creek & Pond Vegetation Control,101
2,Construction Items- ROW,100
2,Animal Trapped in Storm Drain,98
2,ATD - Construction Concerns in Right of Way,98
2,Pet Resource Center - Found Pet Report,93
2,SBO - Debris in Street,92
2,ARR - On Call Bulk,90
2,Animal Protection - Animal Proper Care,88
2,Animal Protection - Assistance Request,88
2,Street Resurfacing,87
2,ATD - Traffic Sign Emergency,85
2,Aquatics Hotline Inquiry,80
2,SBO - Obstruction in Right of Way,80
2,TARA - Telecommunication Complaint,80
2,ATD - Road Markings/Striping - New,76
2,ATD - Parking Machine Issue,75
2,APH - Environmental Health Services - City,74
2,ZZ - Tree Issue ROW,73
2,ARR - Spillage Trash/Fluids,72
2,Flooding Current (Non-Emergency),70
2,Park Maintenance - Building Issues,68
2,Speed Limit - Changes/Signs,67
2,Park Maintenance - Pool Issues,65
2,School Zone - New/Review/Changes,65
2,Speed Management,65
2,ATD - School Zone Beacon - Maintenance,65
2,APD - Vehicle Abatement Callback Request,64
2,ATD - Booting Complaint,63
2,ATD - Traffic Signal - New/Modification,62
2,ARR - Property Damage Report,61
2,Code Compliance - Signs/Billboards,57
2,Flooding - Past,55
2,Guardrail New/Repair,52
2,Code Compliance - Short Term Rental (STR) Appointment,51
2,SBO - Pavement Failure,49
2,Street Resurfacing Inquiry,48
2,Animal Protection - Wildlife Exposure,47
2,ATD - Bicycle &amp; Pedestrian Issues,46
2,SBO - New Sidewalk/Curb Ramp/Route,44
2,Neighborhood Home Programs,41
2,AE Street Light Issue - No Address,40
2,PWD - Tree Issue Right of Way,39
2,Tree Issue ROW/Maintenance (PARD),39
2,Construction/Permitting- ROW,38
2,Sign - School Zone Sign Maintenance,38
2,SBO - Sidewalk Repair,37
2,School Issues - Crossing Guards,37
2,Storm Drain Pipe Services,37
2,WPD - Flooding Current,37
2,Ditch/Driveway Pipe Services,35
2,WPD - Standing Water,35
2,DSD - Short Term Rental Complaint,34
2,Park Maintenance - Building A/C & Heating Issues,34
2,AE - Key Accounts,32
2,Bat Complaint,32
2,Parking Ticket Complaint,32
2,ATD - Traffic Signal - Modification,32
2,WPD - Drainage Pond Maintenance,32
2,WPD - Storm Drain Services,32
2,Park Maintenance - Building Electrical Issues,31
2,ATD - View Obstruction and Fencing at Intersection,30
2,Animal Protection - Dangerous Dog Complaint,29
2,Water Theft Report,28
2,Guardrail Repair,28
2,WPD - Lost Item in Storm Drainage System,27
2,311 CRIS - City Vehicle Report,27
2,Animal Protection - Vicious Dog Complaint,26
2,Animal Protection - Coyote Complaints,26
2,ATD - School Zone Sign Maintenance,26
2,Mowing City Parks,26
2,Mowing Medians,26
2,Roadway Spillage,25
2,WPD - Ditch/Driveway Pipe Services,24
2,Loose Animal (not dog),22
2,Vendor Permit - ROW,21
2,Tree Issue ROW/Emergency (PARD),20
2,HPD - Neighborhood Home Programs,20
2,ATD - Special Event,19
2,AE - Electric Vehicle Station Issues,19
2,SBO - Utility Cut Repair,19
2,Ordinance Universal Recycling,19
2,SBO - Street Resurfacing,19
2,Bridge Repair,19
2,WPD - Lady Bird Lake Debris Issues,19
2,Public Health - Environmental Services - County,18
2,SBO - Street and Bridge Miscellaneous,18
2,WPD - Flooding Past,15
2,Austin Code - Construction Rest Break Complaint,15
2,Drainage - Miscellaneous,15
2,AFD - Wildfire Concern / Presentation,15
2,Animal Roadside Sales,14
2,Animal Protection - Animal In Vehicle,14
2,ATD - Traffic Signal - New,13
2,Residential Parking Permit Enforcement,13
2,AW - Water Theft Report,13
2,PW - School Zone - New/Review/Changes,12
2,Park Maintenance - Cemeteries,12
2,SBO - Alley & Unpaved Street Maintenance,12
2,WPD - Watershed Grow Zone Issues,12
2,ARR - Household Hazardous Waste,11
2,Corridor Program Office - Corridor Feedback,11
2,ARR - Pet Search,10
2,ACD - Case Updates/Code Connect Messages,10
2,APH - Environmental Health Services - County,10
2,DSD - Case Updates/Code Connect Messages,10
2,Ordinance Single-Use Carryout Bags,10
