year,complaint_description,average_resolution_time
2017,Traffic Calming,18.563679245283023
2017,School Zone Flasher - Timing/Maintenance,21.800000000000004
2017,Sign - Traffic Sign Maintenance,23.095939086294415
2017,Sign - Street Name,23.733668341708547
2017,ARR Brush and Bulk,23.947266569908077
2017,Animal Bite,24.325597749648377
2017,Aquatics Hotline Inquiry,24.598425196850393
2017,Sign - Parking Sign Maintenance,26.045845272206307
2017,Loose Dog,26.430752584755947
2017,Speed Limit - Changes/Signs,26.885245901639344
2017,Sidewalk/Curb Ramp/Route - NEW,27.597457627118647
2017,Animal Control - Assistance Request,27.63945463726645
2017,Sign - Traffic Sign Emergency,27.765492102065615
2017,Public Health - Environmental Services - City,28.6175972927242
2017,Road Markings/Striping - New,29.056980056980063
2017,Found Animal - Pick Up,29.058883248730968
2017,Traffic Engineering - General,29.108231707317074
2017,Sign - School Zone Sign Maintenance,29.766666666666669
2017,Animal - Proper Care,30.76565096952908
2017,Sign - New,30.922664624808576
2017,Wildlife Exposure,33.532170775706554
2017,Dangerous/Vicious Dog Investigation,35.633116883116884
2017,Loose Animal Not Dog,36.197707736389695
2017,Public Health - Environmental Services - County,39.672727272727279
2017,Road Markings/Striping - Maintenance,45.3675
2017,Injured / Sick Animal,45.8948082138706
2017,School Issues - Crossing Guards,53.359999999999992
2017,School Zone - New/Review/Changes,56.01398601398602
2017,Standing Water,58.063829787234042
2017,Traffic Signal - New/Change,80.061743341404352
2017,Public Health - Graffiti Abatement,82.99137466307279
2017,Street Resurfacing Inquiry,92.97727272727272
2017,Ditch/Driveway Pipe Services,98.805555555555557
2017,AFD - Wildfire Concern / Presentation,121.81081081081081
2017,Obstruction - Urban Forestry,133.16666666666669
2017,Fence/Wall Repair,135.75
2017,Creek & Pond Vegetation Control,136.76363636363635
2017,Flooding - Past,146.42857142857139
2017,Channels/Creeks/Drainage Easement,147.98012232415903
2017,Flooding  Current (Non-Emergency),148.912
2017,Pothole Repair,149.58396188963872
2017,Tree Issue ROW/Maintenance (PW),151.30927835051551
2017,Lost Item in Storm Drainage System,152.23646723646723
2017,Curb/Gutter Repair,153.75647668393779
2017,Debris in Street,164.18546511627909
2017,Alley & Unpaved Street Maintenance,172.340206185567
2017,Pavement Failure,174.59408602150535
2017,Mowing Medians,176.83274021352312
2017,Guardrail Repair,179.88311688311688
2017,Fence Repair - MOPAC,181.0
2017,Road Sanding Request,183.5
2017,Coyote Complaints,185.85977011494253
2017,Guardrail - New,186.33333333333334
2017,Sidewalk Repair,186.57015810276675
2017,Tree Issue ROW/Emergency (PW),186.73716012084591
2017,Town Lake Debris Issues,198.4
2017,Roadway Spillage,203.38461538461539
2017,Barricade Request,204.56250000000003
2017,Obstruction in ROW,210.37902483900643
2017,Bridge Repair,211.34482758620689
2017,Storm Drain Pipe Services,211.75
2017,Bicycle Issues,219.91130820399115
2017,zz - Coyote Compliants,241.42857142857142
2017,Tree Issue ROW,244.5519077196096
2017,Street Resurfacing,279.98876404494388
2017,Water Theft Report,398.57317073170736
2017,Guardrail New/Repair,429.28571428571433
2017,Ordinance Single-Use Carryout Bags,485.6
2017,EV PIP Residential Rebate,553.33333333333337
2017,Neighborhood Home Programs,562.95
2017,ARR Dumpster,572.75
2017,EV PIE Station Issues,608.55555555555554
2017,AW - Water Waste Report,883.884892086331
2017,Ordinance Universal Recycling,904.5
2017,AW - Water Conservation Violation,1934.8888888888891
2017,Animal Protection - Wildlife Exposure,2056.0
2017,Animal Protection - Assistance Request,2210.333333333333
2017,Animal Protection - Animal In Vehicle,2210.5
2017,Animal Protection - Loose Animal Not Dog,2216.0
2017,Animal Protection - Found Animal Assistance,2244.0
2017,Animal Protection - Animal Bite,2245.5
2017,Animal Protection - Injured/Sick Animal,2294.3333333333335
2017,Animal Protection - Animal Proper Care,2314.0
2017,Animal Protection - Loose Dog,2327.7272727272725
2018,EV PIP Residential Rebate,0.0
2018,Lane/Road Closure Notification,0.01186375813241485
2018,Austin Code - Short Term Rental Complaint SR,0.022739877981142544
2018,Austin Code - Construction Rest Break Complaint,0.029411764705882353
2018,Austin Code - Request Code Officer,0.045247437033286937
2018,Austin Code - Signs/Billboards,0.056795131845841812
2018,Loud Commercial Music,0.44873699851411586
2018,Residential Parking Permit Enforcement,0.51724137931034486
2018,Austin Code - Short Term Rental (STR) Appointment,0.53086419753086411
2018,Street Lights New,0.59121621621621634
2018,ARR Dead Animal Collection,0.61661832451800058
2018,Park Maintenance - Pool Issues,1.3742038216560508
2018,Park Maintenance - Grounds Plumbing Issues,1.412921348314607
2018,Park Maintenance - Grounds Electrical Issues,1.5506607929515417
2018,Park Maintenance - Building Plumbing Issues,1.6691176470588238
2018,Park Maintenance - Grounds,1.6867584242999525
2018,Parking Machine Issue,1.6969301110385371
2018,Park Maintenance - Building Electrical Issues,1.75
2018,Filming Permit - ROW,1.75
2018,Dockless Mobility,1.7841666666666665
2018,Park Maintenance - Building A/C & Heating Issues,1.8476190476190477
2018,Mowing City Parks,1.9139784946236555
2018,Park Maintenance - Building Issues,1.9189189189189191
2018,Traffic Signal - Dig Tess Request,1.9733606557377046
2018,Street Light Issue- Multiple poles/multiple streets,2.3319327731092443
2018,Park Maintenance - Cemeteries,2.333333333333333
2018,ARR Missed Yard Trimmings/Compost,2.7907146773898739
2018,Parking Violation Enforcement,3.2323049001814872
2018,Public Health - Environmental Services - County,3.2784810126582267
2018,Vendor Permit - ROW,3.5294117647058822
2018,Street Light Issue- Address,4.1425017768301364
2018,Utility Coordination - ROW,5.5
2018,Public Health - Environmental Services - City,5.5493333333333323
2018,Valet Permit - ROW,5.6
2018,Construction/Permitting- ROW,6.21875
2018,Animal Trapped in Storm Drain,6.3481481481481472
2018,ATD - Booting Complaint,7.4285714285714288
2018,Newspaper Rack- ROW,7.5
2018,ARR Street Sweeping,7.6112266112266092
2018,ARR Brush and Bulk,8.1797468354430372
2018,Parking Permit- ROW,8.3333333333333321
2018,School Zone Flasher - Timing/Maintenance,8.6703056768558966
2018,Traffic Signal - Maintenance,8.9774793560764
2018,Animal In Vehicle,12.226480836236936
2018,Traffic Calming,12.749440715883669
2018,Concerns in the ROW,12.804295942720763
2018,Construction items in ROW,15.278125000000001
2018,Animal Bite,18.14657738095238
2018,Animal - Proper Care,18.457010963646859
2018,View Obstruction at Intersection,18.667410714285712
2018,Wildlife Exposure,20.161917098445596
2018,Traffic Engineering - General,20.977900552486187
2018,Dangerous/Vicious Dog Investigation,22.569148936170219
2018,Loose Dog,22.702227985382521
2018,Sidewalk/Curb Ramp/Route - NEW,23.223255813953486
2018,Sign - Traffic Sign Maintenance,23.2701062215478
2018,Sign - Street Name,23.961852861035414
2018,Animal Control - Assistance Request,23.984187829420222
2018,Sign - Parking Sign Maintenance,25.448170731707322
2018,Traffic Signal - New/Change,26.416488222698074
2018,Road Markings/Striping - New,27.636363636363637
2018,Injured / Sick Animal,28.064057672502571
2018,School Zone - New/Review/Changes,29.048192771084342
2018,Found Animal - Pick Up,29.054147465437786
